	Day #1	Day #2	Day #3	Day #4	Day #5	Day #6	Day #7	Day #8	Day #9	Day #10	Day #11	Day #12	Day #13	Day #14	Day #15	Day #16	Day #17	Day #18	Day #19	Day #20	Day #21	Day #22	Day #23	Day #24	Day #25	Day #26	Day #27	Day #28	Day #29	Day #30	Day #31	Day #32	Day #33	Day #34	Day #35	Day #36	Day #37	Day #38	Day #39	Day #40	Day #41	Day #42	Day #43	Day #44	Day #45	Day #46	Day #47	Day #48	Day #49	Day #50	Day #51	Day #52	Day #53	Day #54	Day #55	Day #56	Day #57	Day #58	Day #59	Day #60	Day #61	Day #62	Day #63	Day #64	Day #65	Day #66	Day #67	Day #68	Day #69	Day #70	Day #71	Day #72	Day #73	Day #74	Day #75	Day #76	Day #77	Day #78	Day #79	Day #80	Day #81	Day #82	Day #83	Day #84	Day #85	Day #86	Day #87	Day #88	Day #89	Day #90	Day #91	Day #92	Day #93	Day #94	Day #95	Day #96	Day #97	Day #98	Day #99	
Sim #1	172.146	173.045	173.886	170.84	170.782	169.956	172.668	171.95	169.789	171.719	170.31	169.397	170.8	170.633	168.775	172.772	171.949	172.733	170.378	172.133	168.008	172.622	169.444	172.416	172.923	170.853	175.758	168.962	173.324	171.442	172.9	171.684	170.176	167.881	172.238	172.672	175.834	170.626	171.65	175.914	169.533	172.663	173.598	172.569	175.837	168.762	171.56	172.737	172.473	170.813	170.321	174.153	170.248	170.991	170.093	172.973	172.307	169.002	173.241	172.731	172.925	170.543	169.639	172.775	167.538	171.907	168.79	171.003	171.993	171.337	175.182	173.078	172.604	176.204	171.095	172.749	173.183	171.462	172.587	171.123	172.633	174.476	173.941	173.358	171.034	169.165	172.005	174.646	173.694	170.143	173.015	169.699	174.908	173.246	170.124	171.154	173.58	171.753	174.991	
Sim #2	172.204	176.23	175.262	170.923	171.497	168.215	171.867	173.69	170.57	172.756	167.999	169.058	172.341	167.781	169.624	171.833	174.069	173.552	169.535	173.526	167.596	171.928	168.686	176.111	171.503	174.366	174.872	170.771	174.462	168.857	173.527	173.855	170.136	167.75	173.933	173.884	177.375	173.205	171.629	177.252	170.266	172.514	175.356	172.424	172.713	165.649	173.199	173.519	171.448	170.251	169.774	177.917	171.365	172.41	169.223	177.338	170.777	168.805	175.936	174.902	173.373	171.538	172.856	172.62	168.007	171.991	171.991	169.473	173.305	169.065	179.109	173.867	173.525	180.62	168.12	172.402	174.592	167.655	172.722	171.243	169.262	177.553	176.722	172.496	170.992	167.603	170.696	173.941	175.551	168.909	175.338	170.085	176.327	175.38	171.888	168.176	175.163	169.229	174.948	
Sim #3	173.01	173.678	174.81	169.821	172.945	165.806	171.223	175.375	173.633	171.768	166.159	169.806	175.098	168.495	169.634	174.037	172.643	171.406	167.94	171.665	165.916	173.318	172.777	172.824	172.27	175.917	178.842	173.866	171.9	172.628	171.012	176.644	172.943	165.541	172.35	172.232	177.84	170.22	172.778	179.343	170.374	172.566	175.562	173.03	173.582	163.537	173.784	171.95	171.877	167.791	173.125	175.325	170.864	172.593	169.212	177.825	169.501	168.819	174.443	173.369	173.592	169.672	170.058	173.603	166.958	172.423	170.116	169.044	174.704	169.767	179.03	173.808	172.163	178.224	169.973	172.589	174.064	163.167	174.186	172.778	168.912	178.478	175.069	172.833	168.108	167.514	171.782	172.512	175.192	169.55	178.955	170.808	176.53	178.092	170.524	171.499	176.318	165.345	173.689	
Sim #4	178.552	177.519	173.422	170.301	169.183	168.032	171.059	178.535	175.158	172.048	163.59	171.523	174.526	170.539	168.363	175.613	171.474	169.789	166.054	171.971	167.727	174.972	172.452	177.389	176.178	175.642	175.081	173.333	173.525	173.64	170.095	178.595	171.638	162.82	172.976	171.363	179.572	171.264	172.926	179.868	172.711	173.079	175.173	171.853	175.941	164.571	173.74	175.26	171.726	166.288	172.55	175.532	170.552	168.852	169.453	173.48	169.255	172.284	178.383	174.289	174.317	169.593	168.96	174.707	168.401	171.62	171.148	169.376	175.163	169.843	182.028	173.058	173.591	179.021	170.564	169.285	173.602	163.578	175.481	172.122	170.249	181.139	173.157	173.878	167.707	168.607	174.754	175.211	179.416	170.283	179.884	170.457	175.134	177.114	168.795	175.798	177.103	165.687	175.746	
Sim #5	176.434	178.939	175.138	169.087	170.714	168.396	172.291	182.623	173.888	172.709	163.961	170.424	174.409	171.304	167.331	172.501	170.384	168.321	163.965	176.567	170.82	175.168	172.865	177.092	176.062	177.078	178.558	172.551	174.515	176.156	174.098	178.13	173.165	163.612	172.685	173.355	179.082	171.179	172.078	181.482	175.212	174.318	176.565	172.112	177.664	161.373	175.308	173.777	169.624	164.507	175.025	175.854	168.834	163.674	167.414	166.694	166.237	172.945	179.391	174.098	173.492	170.345	169.985	175.199	169.502	173.916	174.024	166.404	173.481	170.859	183.096	170.263	172.668	178.068	171.975	169.33	174.087	162.034	175.975	171.691	170.594	183.803	173.259	176.16	168.375	170.406	175.81	177.344	180.411	169.843	177.895	170.436	178.97	178.02	166.178	175.237	176.114	167.123	174.346	
Sim #6	175.446	179.048	174.14	171.795	169.247	165.58	169.553	182.034	174.679	167.65	162.97	169.324	174.094	170.708	170.057	171.608	169.825	169.473	163.221	177.299	172.749	172.977	171.188	173.214	177.382	179.423	180.754	175.719	173.198	178.134	177.221	179.51	171.854	164.173	173.064	173.642	175.908	174.528	172.066	181.732	176.397	174.003	176.023	170.482	178.186	159.859	176.63	173.919	167.702	162.671	176.013	177.852	168.359	162.666	169.556	169.085	165.682	173.842	178.862	174.468	175.88	170.712	167.812	177.258	169.551	178.103	178.968	166.295	172.197	171.263	181.4	170.378	174.565	181.251	171.967	171.002	173.535	163.795	179.591	173.19	171.205	186.027	170.323	176.133	171.056	169.876	175.852	177.65	179.486	171.865	176.398	173.59	176.872	180.271	160.438	178.08	174.429	167.117	172.598	
Sim #7	178.537	176.235	172.401	172.24	172.811	164.965	168.595	184.211	173.31	169.668	161.541	172.127	174.779	171.048	167.374	172.638	170.357	167.424	165.426	177.603	173	171.827	172.533	173.72	177.207	176.425	182.038	176.755	172.114	179.46	175.302	177.843	169.094	162.67	172.211	177.62	175.163	176.648	173.623	182.435	174.327	175.889	175.449	171.757	176.836	158.693	178.468	173.047	168.451	162.468	174.527	182.747	171.019	162.972	168.969	168.174	166.097	173.647	180.501	175.524	175.631	171.507	166.871	179.512	169.75	179.158	177.79	166.971	171.25	168.399	179.707	171.515	177.748	178.152	171.244	172.185	172.32	161.997	181.526	173.033	173.136	189.734	169.297	179.477	175.667	172.92	175.528	175.808	181.45	172.594	175.039	175.579	174.816	183.344	162.658	177.392	175.261	167.007	174.355	
Sim #8	179.933	173.513	173.588	174.734	173.174	167.034	169.21	180.005	173.517	166.165	160.942	173.811	175.684	171.301	171.235	173.212	171.273	168.005	167.337	179.33	172.59	171.151	176.336	176.903	175.12	174.721	184.172	175.047	169.176	182.486	178.204	176.353	171.064	166.817	170.74	180.861	173.83	178.506	173.369	181.534	172.769	171.847	172.216	172.827	176.545	160.865	178.718	175.165	165.542	163.094	173.792	185.784	167.313	162.311	171.977	169.162	169.168	172.775	182.761	177.849	175.797	174.286	165.842	182.196	171.084	179.258	175.467	166.453	171.111	167.658	183.604	172.658	179.27	174.42	173.647	173.959	173.414	162.419	179.671	174.213	171.909	189.725	175.109	181.005	177.43	175.406	178.141	177.314	184.946	172.796	172.286	175.291	175.031	183.453	159.226	173.999	175.875	169.442	171.418	
Sim #9	178.695	174.981	174.764	172.406	173.886	165.6	172.474	176.564	171.048	167.34	160.605	176.19	173.773	171.474	173.84	174.614	169.568	170.03	167.565	182.48	173.513	171.003	180.909	181.53	172.32	176.193	180.852	173.487	168.788	186.285	179.18	176.994	172.407	166.41	173.318	179.339	174.694	180.523	173.405	179.106	176.153	170.849	173.335	172.325	177.054	159.097	177.396	173.525	161.145	164.535	173.41	183.889	166.04	160.98	173.15	169.194	169.657	172.556	182.383	182.068	176.191	173.846	164.556	183.185	173.72	179.997	175.901	165.338	170.758	167.61	186.49	169.943	179.469	171.872	176.997	172.991	169.373	161.482	181.231	171.109	172.821	187.556	169.59	181.111	179.931	171.812	177.172	178.451	186.038	174.564	171.332	175.805	178.185	186.802	157.357	171.519	175.765	170.703	170.253	
Sim #10	178.47	176.381	172.397	173.378	173.284	166.103	173.501	175.033	169.92	166.228	160.692	178.5	174.063	168.499	173.58	169.807	171.725	172.544	168.657	182.294	175.772	173.081	184.255	182.13	174.83	175.703	180.908	175.128	169.299	183.263	180.381	179.353	167.114	165.72	172.737	177.886	175.291	184.075	171.891	178.158	177.218	169.744	174.972	173.28	176.668	158.819	179.679	173.345	164.469	167.684	177.742	185.295	165.471	164.97	175.385	167.163	167.034	173.781	179.16	181.689	176.189	172.497	169.706	185.638	175.249	179.063	174.165	166.007	170.832	169.299	188.766	170.326	179.13	173.837	176.317	174.225	169.49	163.339	183.769	171.024	173.997	192.091	169.258	179.19	180.753	170.372	180.652	176.115	183.302	174.653	172.005	176.343	180.973	186.669	157.337	172.821	175.32	172.399	171.026	
