	Day #1	Day #2	Day #3	Day #4	Day #5	Day #6	Day #7	Day #8	Day #9	Day #10	Day #11	Day #12	Day #13	Day #14	Day #15	Day #16	Day #17	Day #18	Day #19	Day #20	Day #21	Day #22	Day #23	Day #24	Day #25	Day #26	Day #27	Day #28	Day #29	Day #30	Day #31	Day #32	Day #33	Day #34	Day #35	Day #36	Day #37	Day #38	Day #39	Day #40	Day #41	Day #42	Day #43	Day #44	Day #45	Day #46	Day #47	Day #48	Day #49	Day #50	Day #51	Day #52	Day #53	Day #54	Day #55	Day #56	Day #57	Day #58	Day #59	Day #60	Day #61	Day #62	Day #63	Day #64	Day #65	Day #66	Day #67	Day #68	Day #69	Day #70	Day #71	Day #72	Day #73	Day #74	Day #75	Day #76	Day #77	Day #78	Day #79	Day #80	Day #81	Day #82	Day #83	Day #84	Day #85	Day #86	Day #87	Day #88	Day #89	Day #90	Day #91	Day #92	Day #93	Day #94	Day #95	Day #96	Day #97	Day #98	Day #99	Day #100	
Sim #1	112.615	114.395	111.855	112.509	113.261	110.146	111.484	109.408	110.447	111.364	112.592	112.773	113.883	112.286	110.551	112.555	113.227	109.989	111.14	112.833	111.773	112.361	114.008	111.819	113.047	111.345	111.312	111.072	112.088	111.959	110.879	114.347	110.911	113.369	112.983	111.789	112.589	110.682	113.287	113.173	110.631	113.439	111.126	111.584	113.799	112.027	113.27	111.911	112.967	110.68	115.063	112.91	110.722	112.182	112.33	115.323	114.86	110.188	110.408	112.654	111.695	112.371	113.18	109.484	112.443	111.759	110.252	111.182	112.369	112.405	112.266	112.724	112.32	113.927	110.711	112.283	110.786	111.964	111.431	112.619	112.978	114.002	112.871	112.52	110.687	111.439	114.793	112.974	110.151	111.388	112.176	111.692	111.652	112.28	113.199	112.11	112.866	109.946	111.674	114.229	
Sim #2	112.634	112.586	110.874	111.621	112.19	109.682	111.899	107.133	109.639	111.349	113.418	114.117	114.847	110.452	111.95	114.532	111.676	109.237	111.02	115.274	112.73	110.243	116.737	112.739	113.434	108.617	111.922	113.03	111.35	114.944	112.012	114.003	113.964	112.884	112.238	112.453	111.827	110.328	111.808	113.809	111.255	113.845	109.411	111.746	113.093	111.948	113.774	109.088	111.985	112.513	115.689	113.254	113.441	111.931	112.455	114.907	116.639	111.059	109.971	114.211	111.992	111.974	112.753	106.649	112.204	110.007	109.778	112.018	113.394	111.763	112.501	112.914	111.028	115.58	112.918	112.668	112.623	114.179	112.001	111.968	112.76	114.036	112.667	113.238	109.913	109.28	114.113	111.259	112.427	114.709	111.197	112.648	110.914	110.631	112.153	112.183	112.241	112.349	112.518	114.889	
Sim #3	113.179	115.249	112.035	113.527	114.715	111.143	114.205	106.11	108.877	110.254	115.316	113.066	115.887	109.172	112.39	114.961	111.728	111.722	110.14	114.988	111.679	106.889	117.415	114.059	111.374	110.805	112.49	112.354	111.705	114.751	109.416	113.74	112.938	111.897	112.194	115.467	111.087	109.62	112.177	115.248	113.016	111.755	109.054	111.316	113.048	110.529	113.597	108.239	112.728	111.864	116.921	110.426	113.467	108.904	110.58	116.565	116.026	111.56	109.425	116.715	112.114	110.108	112.654	107.901	113.278	109.559	111.26	111.044	113.182	109.994	110.626	113.856	110.777	113.149	112.876	112.768	112.013	115.243	112.884	109.578	114.201	113.469	110.802	113.433	109.755	109.801	114.381	113.883	112.154	113.579	113.325	114.462	110.432	110.992	111.029	112.574	114.938	114.786	114.127	114.847	
Sim #4	117.068	116.22	111.324	113.821	114.951	110.092	114.915	104.379	109.666	109.62	115.002	113.572	115.649	109.984	113.284	117.174	111.876	114.664	109.226	117.363	113.038	105.242	115.16	111.872	111.747	110.451	111.528	111.601	112.382	118.001	111.637	113.76	111.808	111.233	112.377	116.253	113.446	106.815	112.42	114.15	112.905	115.132	108.73	113.487	114.765	111.789	110.187	108.482	113.919	110.522	115.353	110.59	112.62	107.566	112.164	116.648	117.529	109.741	107.846	114.005	111.272	110.549	113.869	108.004	113.545	108.775	109.644	111.921	116.501	111.703	110.234	114.141	112.017	110.891	112.54	113.299	113.046	113.542	113.051	109.112	114.874	114.42	113.773	111.611	109.176	111.494	113.392	116.755	111.713	114.004	112.023	114.471	109.13	111.683	113.401	111.54	115.09	114.732	114.146	115.253	
Sim #5	115.548	116.272	110.103	115.575	115.437	110.43	114.357	105.082	108.487	108.642	114.356	113.73	117.315	108.563	112.923	116.214	111.996	114.017	109.259	118.54	113.072	104.114	116.561	111.406	112.638	110.226	113.285	110.821	113.673	117.206	113.858	112.564	112.645	111.379	110.369	115.354	114.372	107.072	111.939	114.059	110.984	116.245	108.391	113.432	114.378	114.548	110.57	109.654	116.424	110.11	116.08	111.35	114.971	107.857	112.614	118.003	121.52	111.667	107.558	113.093	113.05	109.38	113.528	105.917	113.325	109.406	111.715	112.98	115.952	112.687	112.579	112.44	113.312	107.229	112.823	112.299	112.655	112.371	112.835	107.976	117.002	112.619	113.213	111.664	110.296	112.68	115.011	117.106	112.625	112.246	114.755	113.602	109.537	114.056	114.253	112.969	113.244	113.818	115.088	115.89	
Sim #6	114.827	114.28	110.898	113.892	114.983	111.983	115.495	106.418	107.125	109.221	114.922	114.778	116.555	108.726	112.847	117.113	114.557	113.156	108.939	117.056	113.004	104.14	116.626	113.61	111.363	110.881	111.267	108.915	113.639	116.839	113.44	113.54	112.996	112.232	110.833	114.121	116.116	105.669	113.925	115.546	111.81	117.297	107.16	112.508	115.227	113.054	110.472	108.321	119.372	110.901	117.023	111.302	113.17	107.627	111.397	118.116	121.306	112.192	107.691	111.219	113.586	108.45	115.14	105.972	113.006	107.719	115.085	112.597	116.338	113.147	110.875	112.363	113.404	104.907	115.56	110.584	112.91	110.888	112.26	109.395	117.139	110.749	111.992	113.153	108.333	111.575	117.795	119.503	113.749	112.574	112.213	116.442	108.477	115.59	113.974	114.057	110.421	115.249	115.801	117.108	
Sim #7	116.986	112.355	111.685	114.561	114.951	111.191	113.757	104.303	105.931	107.48	115.666	115.621	117.486	108.508	111.572	117.764	114.661	113.589	109.723	117.918	112.648	104.867	114.801	112.63	111.819	111.278	114.468	108.251	113.516	117.729	114.236	111.774	114.546	112.118	110.224	115.852	118.452	106.156	113.435	111.81	111.289	118.278	109.06	110.3	113.419	113.572	109.113	108.334	117.562	111.645	117.079	110.713	115	109.641	109.523	120.81	121.678	113.299	109.216	110.71	116.769	110.075	117.027	107.747	113.228	108.045	114.291	112.65	116.507	113.446	109.323	113.412	115.805	105.552	114.319	110.474	114.232	110.682	112.468	109.303	117.186	112.798	108.392	113.619	107.905	113.027	118.762	120.765	113.42	110.559	110.853	117.187	108.783	114.56	111.814	114.844	110.644	114.235	116.203	118.317	
Sim #8	117.948	113.357	110.032	114.566	114.55	109.939	115.948	106.027	103.797	108.078	115.849	113.37	117.965	108.567	112.245	118.507	113.451	112.26	110.842	116.792	113.477	102.094	114.482	112.412	110.821	111.706	113.933	105.73	111.689	116.921	113.078	112.625	114.142	111.759	111.195	116.669	118.265	108.028	113.555	112.957	111.912	117.57	108.17	109.704	113.426	113.266	111.125	108.656	117.852	112.065	118.192	111.841	116.394	107.788	110.429	121.629	120.386	112.917	110.704	109.141	119.844	110.703	114.383	109.765	114.662	106.429	116.369	113.805	115.778	113.966	110.015	112.538	115.532	105.014	114.147	111.59	115.221	112.432	110.174	111.275	117.841	113.848	105.621	112.185	107.941	111.052	117.59	124.176	114.096	111.472	111.077	116.545	109.948	115.817	114.174	115.372	111.655	112.978	118.179	117.23	
Sim #9	117.049	114.312	111.418	115.081	113.734	110.394	114.093	105.14	104.614	107.873	116.532	112.335	119.826	111.627	112.936	121.644	114.184	114.324	111.123	117.562	115.48	100.186	111.766	112.112	109.623	109.819	112.721	105.073	114.641	116.501	113.408	114.236	115.402	110.173	112.942	116.476	117.22	109.061	112.811	112.994	110.602	116.448	110.186	108.003	113.4	112.377	110.77	108.525	117.668	113.142	119.767	111.676	115.893	109.675	109.82	121.058	122.919	110.902	109.782	108.485	122.874	112.45	115.386	109.861	113.843	108.29	118.74	113.067	115.835	114.601	109.72	114.551	114.8	103.907	112.098	112.005	116.27	112.99	110.637	112.656	116.759	114.233	102.915	111.511	109.094	111.181	120.076	121.979	113.035	110.923	112.581	119.013	111.386	114.803	117.239	114.654	111.629	114.195	117.079	115.633	
Sim #10	116.866	117.076	111.5	114.937	111.524	112.218	114.619	105.457	105.355	109.152	118.614	113.427	119.557	108.682	112.53	122.2	113.619	113.587	112.522	117.619	115.54	98.9086	113.225	112.161	110.926	108.511	112.932	104.088	114.156	118.676	113.529	112.832	115.925	111.263	114.969	115.636	116.596	111.9	114.411	113.386	110.152	114.721	111.017	108.959	111.661	112.028	110.479	109.194	116.033	112.409	120.472	113.627	114.401	107.014	109.822	119.525	124.363	111.287	107.058	106.895	124.139	110.232	114.415	108.775	113.861	110.219	118.934	116.173	113.716	115.191	112.597	114.905	114.624	103.862	113.014	111.64	116.972	113.731	111.192	114.237	119.045	114.844	102.089	110.794	108.73	108.727	119.356	124.747	113.153	110.296	111.277	120.029	113.221	113.525	116.812	113.448	111.526	112.099	116.947	115.725	
