	Day #1	Day #2	Day #3	Day #4	Day #5	Day #6	Day #7	Day #8	Day #9	Day #10	Day #11	Day #12	Day #13	Day #14	Day #15	Day #16	Day #17	Day #18	Day #19	Day #20	
Sim #1	112.929	112.511	111.146	112.173	113.1	113.228	113.53	114.547	114.747	113.968	115.499	117.305	116.909	115.345	115.755	117.955	117.43	116.287	114.547	114.793	
Sim #2	110.762	109.552	108.74	105.456	105.208	107.49	109.056	109.309	107.621	105.097	106.203	105.185	106.482	106.754	107.046	107.414	106.63	105.926	106.229	106.841	
Sim #3	114.543	114.244	114.627	113.5	111.022	109.498	109.686	108.915	108.803	108.615	108.551	108.588	107.317	106.27	106.498	107.899	107.287	107.065	105.891	105.628	
Sim #4	110.489	111.144	109.743	108.799	109.159	106.843	106.539	105.749	104.312	104.848	103.684	101.877	102.214	101.661	101.325	102.257	102.672	102.728	103.369	104.94	
Sim #5	113.655	115.508	116.712	116.966	117.453	116.894	116.149	117.366	120.061	120.387	122.654	121.536	123.334	123.261	122.775	122.556	122.843	121.627	125.298	124.253	
Sim #6	113.128	115.188	115.625	114.072	113.816	113.394	111.726	111.798	111.614	114.853	114.92	112.988	112.416	112.434	109.997	111.514	112.246	113.088	115.543	115.902	
Sim #7	112.419	113.05	113.807	113.125	113.172	113.636	113.539	113.457	113.364	113.907	111.023	110.418	112.174	111.111	111.482	113.392	115.925	117.833	119.243	119.904	
Sim #8	112.453	112.008	111.354	110.32	110.388	110.986	112.483	113.518	116.336	116.686	115.964	117.416	117.853	121.007	122.617	126.627	127.468	126.809	126.638	124.73	
Sim #9	112.35	110.314	112.93	111.699	112.67	112.083	112.218	112.799	113.592	113.803	113.569	111.713	113.33	112.508	112.083	112.3	112.251	114.059	113.355	115.573	
Sim #10	112.883	112.871	111.097	112.754	113.248	114.448	113.514	111.934	112.094	112.393	112.991	112.832	112.377	112.887	113.074	112.669	110.64	112.41	114.183	114.825	
Sim #11	108.717	108.963	108.752	109.232	110.254	109.9	111.269	110.308	109.173	110.734	112.628	114.307	112.912	112.337	112.956	115.289	115.779	118.253	117.362	119.853	
Sim #12	113.543	114.119	114.573	114.005	115.137	116.849	115.74	113.523	115.604	116.563	116.147	118.158	117.339	117.319	117.669	116.44	115.337	117.032	116.301	113.865	
Sim #13	111.357	113.091	111.958	110.223	109.153	110.107	110.986	110.887	112.432	111.071	110.598	110.494	110.787	110.75	109.858	111.617	111.396	111.718	112.226	112.592	
Sim #14	112.497	112.862	112.208	112.374	114.39	115.803	114.942	111.873	112.067	112.416	113.181	114.346	114.94	116.788	117.786	119.478	117.54	118.904	120.371	121.37	
Sim #15	113.587	115.075	113.187	113.907	114.895	117.788	115.824	114.034	111.257	111.921	114.162	112.655	113.736	116.406	117.339	116.274	117.74	118.342	117.938	118.739	
Sim #16	113.013	112.069	112.046	112.928	115.361	115.61	118.268	114.846	114.632	111.751	111.382	111.167	110.888	111.97	110.439	112.145	113.044	111.176	111.071	110.499	
Sim #17	111.187	110.607	108.505	108.118	107.353	107.483	107.491	106.951	109.501	108.732	109.092	109.885	109.687	110.967	110.279	110.709	110.526	108.003	109.859	109.995	
Sim #18	114.926	113.531	115.621	114.925	116.843	116.257	119.909	121.37	120.255	122.274	122.284	122.838	125.132	127.388	129.518	130.883	132.791	133.66	131.207	129.383	
Sim #19	111.174	111.468	110.001	112.865	111.455	110.107	108.942	109.304	107.341	106.7	107.264	107.389	106.226	104.254	103.215	103.062	104.864	107.34	105.372	105.236	
Sim #20	112.989	115.76	116.886	116.288	118.825	120.661	120.645	120.569	121.056	120.194	120.234	118.58	116.315	117.874	116.47	116.786	116.075	117.332	117.507	118.763	
Sim #21	111.631	110.323	109.009	109.75	109.59	109.119	108.703	109.28	107.023	107.634	108.196	108.57	107.619	107.963	107.858	108.051	109.267	108.25	106.514	106.633	
Sim #22	112.263	113.283	113.146	110.954	112.754	114.293	114.109	113.284	112.408	112.495	115.162	114.419	113.785	112.731	111.424	112.44	114.21	114.648	115.677	116.233	
Sim #23	110.716	110.785	110.736	110.127	108.935	110.097	110.03	109.016	111.363	113.604	113.526	112.166	113.101	111.459	114.156	111.975	115.243	116.843	118.068	119.197	
Sim #24	111.622	110.05	111.343	112.202	113.527	114.752	114.879	113.697	113.357	112.754	112.295	113.137	110.375	111.018	111.834	113.289	111.717	112.141	113.902	112.617	
Sim #25	113.67	113.198	113.365	114.644	114.603	115.82	114.93	116.453	116.815	115.608	117.373	117.688	118.834	119.349	120.185	120.395	118.852	117.659	117.609	118.215	
Sim #26	109.792	109.625	109.375	109.068	109.852	110.61	111.148	110.108	111.163	110.42	110.893	109.348	110.554	109.505	111.4	109.369	110.892	112.68	114.425	114.532	
Sim #27	114.267	115.227	116.667	116.319	116.224	118.424	117.962	119.546	120.25	119.343	119.866	120.721	119.448	120.623	120.766	121.956	123.136	123.095	122.456	122.539	
Sim #28	111.198	112.294	114.214	117.539	118.225	117.624	120.236	122.021	122.873	122.52	120.748	122.034	119.711	119.492	118.979	117.211	114.373	113.586	113.363	113.029	
Sim #29	112.854	114.108	113.399	114.467	114.683	117.818	117.721	119.035	119.507	119.308	120.331	118.094	118.475	120.976	124.987	125.647	124.303	124.224	125.012	127.685	
Sim #30	111.891	112.122	112.278	113.098	112.095	111.469	112.712	113.011	112.263	112.955	114.526	114.367	114.14	111.765	112.743	113.29	112.547	114.767	116.189	117.114	
