	Day #1	Day #2	Day #3	Day #4	Day #5	Day #6	Day #7	Day #8	Day #9	Day #10	Day #11	Day #12	Day #13	Day #14	Day #15	Day #16	Day #17	Day #18	Day #19	Day #20	
Sim #1	138.282	21.3532	183.374	1167.86	147.822	504.346	336.156	629.479	20.6144	19.0186	79.0351	448.084	40.4589	791.307	61.1612	127.889	122.389	411.173	71.4827	45.911	
Sim #2	126.371	33.6977	475.79	745.873	304.178	122.048	811.59	420.963	4.43439	42.3085	34.4567	2958.57	82.0268	760.25	437.676	59.9785	88.7872	1157.74	43.3092	96.4586	
Sim #3	169.78	42.5688	623.766	530.948	357.267	758.331	125.858	151.064	1.36668	31.8631	73.3974	1054.81	22.168	952.378	194.453	218.762	15.0693	1974.94	18.381	177.899	
Sim #4	2491.38	33.0015	1817.89	899.557	246.818	1366.42	246.317	397.547	2.1597	22.7876	39.138	822.534	12.3974	618.857	60.1526	244.226	26.1254	1646.02	16.7412	287.513	
Sim #5	763.489	12.4162	1691.57	561.094	121.69	1278.98	105.398	176.273	1.07617	14.2086	14.1986	1726.42	12.1599	895.941	155.285	778.568	14.4307	1375.28	29.9633	1340.71	
Sim #6	410.682	13.6497	2448	1261.98	69.9693	277.066	547.187	145.878	1.56123	43.6982	23.1974	2982.36	9.70767	723.93	115.956	209.15	19.6505	620.15	47.5545	1389.64	
Sim #7	1723.92	7.12917	3589.3	1016.11	162.934	61.4354	1169.09	246.279	0.314127	156.477	37.5055	1903.07	2.59402	1078.87	1226.32	305.978	3.06415	426.207	40.6055	407.549	
Sim #8	3056.25	4.75545	9558.61	2040.61	212.124	115.335	1044.79	214.953	0.236524	243.038	9.87906	3107.65	0.534303	686.234	344.344	276.907	1.42422	126.416	20.0945	1659.89	
Sim #9	1466.23	10.9472	4494.83	579.378	33.1734	207.859	691.882	514.124	1.10505	51.2599	25.0252	554.857	0.875646	140.425	213.954	361.529	9.52499	228.789	24.842	4607.19	
Sim #10	1161.72	6.02548	11914.4	257.135	35.3301	1347.16	747.46	497.949	3.04641	26.3893	23.9803	512.619	0.479853	110.217	1767.46	293.994	1.39275	69.4361	28.0064	5360.98	
Sim #11	652.026	1.28819	2982.2	58.1991	10.4372	3983.45	373.201	114.05	0.315313	17.1449	7.71761	752.246	1.77092	45.2122	1612.95	1313.62	3.07247	45.4898	12.9511	2891.12	
Sim #12	1320.88	3.20868	3825.82	144.797	9.81685	2392.44	557.495	53.9759	1.13272	62.0686	3.30859	4022.23	0.771807	48.5924	954.151	940.655	6.63089	214.966	9.87462	1368.93	
Sim #13	1521.52	1.05951	6266.29	141.092	9.21697	1595.97	1671.86	14.0542	1.15889	11.1959	4.50703	5285.99	2.00959	150.581	3005.31	570.001	5.84124	26.3144	0.790883	4042.85	
Sim #14	232.562	2.19297	1246.42	178.428	2.69286	1153.16	2561.06	6.60325	3.90356	12.3709	9.25287	14036.5	0.542091	384.388	3284.88	1389.03	6.06215	14.193	0.677958	11328.4	
Sim #15	324.4	0.760222	639.114	342.016	0.686182	230.743	1135.78	5.54155	0.797078	44.4828	6.94742	5832.08	0.915461	183.162	14249.8	3897.05	10.9463	28.8285	0.963499	11387.2	
Sim #16	270.936	3.02921	380.259	422.994	0.750846	334.388	797.779	3.42022	0.251664	30.6411	2.42024	37631	0.34188	126.169	39396.7	6241.24	14.5055	21.6747	2.53207	31785.5	
Sim #17	192.61	9.08004	924.004	160.399	0.707169	1275	571.487	10.6103	0.107432	8.1603	3.48807	12421.8	0.583052	160.987	93749.8	21414.8	14.6298	29.3733	1.50714	19294.6	
Sim #18	204.821	25.8189	4680.85	142.781	0.136222	559.39	512.805	18.2732	0.100462	13.715	8.63352	43882.6	2.82565	135.032	58673.1	66887.5	35.9129	77.5486	0.362144	24825.3	
Sim #19	203.354	11.1071	2947.6	104.065	0.0653428	676.991	1215.08	24.6006	0.0594695	41.3796	7.26409	425093	1.49601	603.418	54313.3	26145.5	21.2343	62.5995	0.0620772	46507.9	
Sim #20	55.1641	12.3872	1791.35	248.233	0.128076	70.0397	2395.59	22.598	0.400883	74.0157	21.7303	479649	0.916932	1085.29	27073.6	4629.37	6.90936	55.3255	0.111984	5823.39	
